角色ID	名字	模型	简单AI	行为树	思考间隔	视野	追踪距离	备注	放缩比例	受击材质	原形id	原形名	默认姿态	性格类型	无重力	选中圈比例	选中框比例	头像	显示可进行任务标识	称谓	归属名	归属类型	是否纯表现	随机冒泡内容	随机冒泡概率	隐藏距离	屏蔽点击	阵营	是否主动怪	可视类型	地图显示	头顶显示	隐藏名称	不转向	无血条	头顶显示血条	不飘血	非战斗待机动作	循环特效	前端行为树ID	职业	移动速度	锁定镜头	碰撞半径	受击半径	免疫控制	初始状态	五行属性	默认技能	死亡技能	后端动作	等级设置类型	怪物等级	星级	生命修正	攻击修正	防御修正	力量资质	智慧资质	根骨资质	体魄资质	敏捷资质	身法资质	总点数	生命资质	物理攻击资质	法术攻击资质	物理防御资质	法术防御资质	生命值	物理攻击	法术攻击	物理防御	法术防御	治疗强度	护体	护体恢复	生命恢复	暴击率	暴击伤害率	暴击防御率	回避率	命中率	招架率	熟练率	韧劲率	物理穿透	法术穿透	金抗性率	木抗性率	水抗性率	火抗性率	土抗性率	金伤害率	木伤害率	水伤害率	火伤害率	土伤害率	阴伤害率	阳伤害率
6044	朱雀帝	mod_zhuquedi	1					天书试练_桃源仙踪	1.2	2	3007	朱雀帝	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			21600;21601;21602;21603;21604;21605;21606		intro_1|47			7	60	1.5	1.4		1.5			0.5		2	0.75		1.5	0.75	0.75																															
6045	恶魔	mod_emo	1					天书试练_裂痕魔侵		2	1007	恶魔	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73			5	10	0.5	1		1	0.5	0.5			2	1		1	1	1																															
6046	魅魔	mod_meimo	1					天书试练_裂痕魔侵		2	1031	魅魔	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12500;12501;12502		intro_1|100			5	10	0.5	1		1			1		2	1		1	1	1																															
6047	阿拔东	mod_emo	1					天书试练_裂痕魔侵	1.2	2	2013	精英恶魔	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73			6	30	1	1.2	1		0.5	0.5			2	1	1		1	1																															
6048	亚坦	mod_suijunjunguanemo	1					天书试练_裂痕魔侵	2.5	2	3015	恶魔军官	1			3.5	2.5	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			13706;13707;13708;13709;13710		intro_1|90			7	60	1.5	1.4	2						2	1	1		1	1																															
6049	毕方鸟	mod_bifangniao	1					天书试练_平定道场	1.5	2	1047	毕方鸟	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14300;14301		stand_up|69;dead|55;intro_1|61;wedakness|40			5	10	0.5	1		1				1	2	1		1	1	1																															
6050	巨象猎人	mod_juxianglieren_human	1					天书试练_平定道场	1.3	2	2016	巨象猎人（人）	1			2	1.5	ui_Head_Common_Blame										2	1		5											4		0	2.5				21700;21701;21702;21703;21704		intro_1|53			7	60	1.5	1.4	2						2	0.8	1.5		1	1																															
6051	巨象猎人	mod_juxianglieren	1					天书试练_平定道场	1.3	2	2017	巨象猎人（人和象）	1			3.5	2	ui_Head_Common_Blame										2	1		5											4		0	3.5				21800;21801;21802;21803;21804;21805;21806		intro_1|53			7	60	1.5	1.4	1		1				2	1	1		1	1																															
6052	水镜	mod_shuijing	1					天书试练_平定道场	1.2	2	3010	水镜	5			1	1	ui_Head_Common_Female										2	1													5		0	0.1				20700;20701;20702;20703;20704;20705;20706					7	60	1.5	1.4	0.8				1.2		2	1	1.5		0.5	0.5																															
6053	符灵	mod_xianglonglishi	1					天书试练_平定道场	1.5	2	2020	降龙力士	1			2	2	ui_Head_Common_Blame										2	1		5											4		0	0.1				22100;22101;22102;22103		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			6	30	1	1.2	1				0.5	0.5	2	1	1		1	1.5																															
6054	彩蝶仙子	mod_diexian	1					天书试练_桃源仙踪	1	2	1051	蝶仙	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14600;14601		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|70			5	10	0.5	1		1.5				0.5	2	1		1	1	1																															
6055	兰花仙子	mod_huayao	1					天书试练_桃源仙踪	1	2	1052	花妖	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14700;14701		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|71			5	10	0.5	1		1.5				0.5	2	1		1	1	1																															
6056	九黎力士	mod_chiyouzuzhanshi	1					天书试练_裂痕魔侵	1.5	2	2014	蚩尤族百夫长	1			1	1	ui_Head_Common_Blame										2	1													5		0	1.6				13200;13201;13202		stand_up|69;dead|55;intro_1|61;wedakness|40			6	30	1	1.2	1			1			2	1.25	1		1.5	0.2																															
6057	九黎甲士	mod_chiyouzujiashi	1					天书试练_裂痕魔侵	1.5	2	2015	蚩尤族玄甲卫	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.6				12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			6	30	1	1.2	1		1				2	1.25	1		1.5	0																															
6101	逐鹿城士兵	mod_zhuoluchengshibing	1					前尘往事		2	1032	逐鹿城士兵	1			1	1	ui_Head_Common_Blame					1					2	1													5		0	0.1				10800;10801;10802		intro_1|100			5	10	0.5	1	1		0.5	0.5			2	1	1		1	1																															
6102	逐鹿城弩手	mod_zhuoluchenggongjianshou	1					前尘往事		2	1033	逐鹿城弩手	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				11000;11001;11002		intro_1|100			5	10	0.5	1	1				1		2	0.75	1.25		1	1																															
6103	逐鹿城勇士	mod_zhuoluchengyongshi	1					前尘往事		2	1034	逐鹿城勇士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12280;12281;12282		intro_1|100			5	10	0.5	1	1		1				2	1	1		2	0																															
6104	隋军枪兵	mod_suijunshibing	1					前尘往事		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10			5	10	0.5	1	1		1				2	1	1		1	1																															
6105	隋军锤兵	mod_suijunyongshi_2	1					前尘往事		2	1043	隋军锤兵	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				13400;13401;13402		intro_1|43			5	10	0.5	1	1.5		0.5				2	1	1.5		0.5	0.5																															
6106	隋军攻城兵	mod_suijunyongshi_3	1					前尘往事		2	1044	隋军柱兵	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				13500;13501;13502		intro_1|43			5	10	0.5	1	2						2	1	1.5		0.5	0.5																															
6107	隋军弩手	mod_zhuoluchenggongjianshou	1					前尘往事		2	1033	逐鹿城弩手	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				11000;11001;11002		intro_1|100			5	10	0.5	1	1				1		2	0.75	1.25		1	1																															
6108	隋军勇士	mod_suijunyongshi	1					前尘往事		2	1030	隋军勇士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12280;12281;12282		intro_1|100			5	10	0.5	1	1		1				2	1	1		2	0																															
6109	白虎监工	mod_baihuzhanshi	1					前尘往事		2	1000	白虎监工	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10600;10601;10602		intro_1|100;hit_out_1|10			5	10	0.5	1	1.5				0.5		2	1	1		1	1																															
6110	白虎勇士	mod_baihuyongshi	1					前尘往事		2	1001	白虎勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10700;10702;10701		intro_1|100;hit_out_1|10			5	10	0.5	1	1		1				2	1	1		2	0																															
6111	白虎刺客	mod_baihucike	1					前尘往事		2	1008	白虎刺客	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11100;11101;11102;11103;11104		intro_1|100;hit_out_1|10			5	10	0.5	1	0.5				1.5		2	0.75	1.5		1	0.5																															
6112	红莲女巫	mod_honglianwunv	1					前尘往事		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10			5	10	0.5	1		1.5				0.5	2	1		1	0.5	1.5																															
6113	朱雀斥候	mod_zhuquechihou	1					前尘往事		2	1040	朱雀斥候	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				13100;13101;13102		stand_up|78;dead|65;intro_1|97;wedakness|36			5	10	0.5	1	1				1		2	1	1		1	1																															
6114	朱雀追兵	mod_zhuqueyanjiang	1					前尘往事	1	2	1049	朱雀小兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14400;14401;14403		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			5	10	0.5	1	1				0.5	0.5	2	1	1		1	1																															
6115	朱雀卫队	mod_zhuqueweidui	1					前尘往事		2	1046	朱雀卫队	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14200;14201		stand_up|69;dead|55;intro_1|61;wedakness|40			5	10	0.5	1	1					1	2	1	1		1	1																															
6116	青龙勇士	mod_qinglongyongshi	1					前尘往事		2	1009	青龙勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11300;11301;11302		intro_1|100;hit_out_1|10			5	10	0.5	1	1		1				2	1	1		1	1																															
6117	青龙圣徒	mod_qinglongshengtu	1					前尘往事		2	1011	青龙圣徒	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11500;11501;11502		intro_1|100			5	10	0.5	1		1		1			2	1		1	0.75	1.25																															
6118	羽民战士	mod_yuminzhanshi	1					前尘往事		2	1010	羽民战士	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				11400;11401;11402		intro_1|100;hit_out_1|10			5	10	0.5	1	1					1	2	1	1		1	1																															
6119	蚩尤族战士	mod_chiyouzuzhanshi	1					前尘往事		2	1042	蚩尤族战士	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				13200;13201;13202		stand_up|69;dead|55;intro_1|61;wedakness|40			5	10	0.5	1	1			1			2	1.25	1		1.5	0.2																															
6120	蚩尤族甲士	mod_chiyouzujiashi	1					前尘往事		2	1037	蚩尤甲士	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			5	10	0.5	1	1		1				2	1.25	1		1.5	0																															
6121	恶魔	mod_emo	1					前尘往事		2	1007	恶魔	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73			5	10	0.5	1		1	0.5	0.5			2	1		1	1	1																															
6122	魅魔	mod_meimo	1					前尘往事		2	1031	魅魔	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12500;12501;12502		intro_1|100			5	10	0.5	1		1			1		2	1		1	1	1																															
6123	尸化士兵	mod_shihuashibing_1	1					前尘往事		2	1012	尸化士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11600;11601;11602		stand_up|62;dead|59;intro_1|60;wedakness|50;intro_2|69			5	10	0.5	1	1		1				2	1	1		1	1																															
6124	尸化弩手	mod_shihuashibing_2	1					前尘往事		2	1013	尸化弩手	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11700;11701		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			5	10	0.5	1	1				1		2	0.75	1.25		1	1																															
6125	毒尸	mod_jiangshicunmin	1					前尘往事		2	1017	自爆僵尸	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1	1			11801;11802;11803		intro_1|100;intro_2|45;intro_3|102			5	10	0.5	1	2						2	0.5	2		0.5	0.5																															
6126	毒尸	mod_jiangshicunmin	1					前尘往事		2	10171	自曝不动	401			1	1	ui_Head_Common_Blame										2	1				-1	1								0		0	0.1	1			12000;12001;12002		intro_1|100;intro_2|45;intro_3|102			5	10	0.5	1	2						2	1	1		1	1																															
6127	魔化人类	mod_mohuarenlei	1					前尘往事	1.4	2	10211	魔化人类	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				13000;13001;13002		stand_up|64;dead|58;intro_1|74;wedakness|36			5	10	0.5	1	2						2	1	1		1	1																															
6128	冤魂	mod_yuanhun	1					前尘往事		2	1023	冤魂	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				12800;12801;12802		stand_up|73;dead|59;intro_1|86;wedakness|33			5	10	0.5	1					1	1	2	1		1	1	1																															
6129	火光兽	mod_huoguangshou	1					前尘往事		2	1041	火光兽	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				12900;12091;12902		stand_up|39;dead|60;intro_1|43;wedakness|39			5	10	0.5	1		1		1			2	1		1	0	2																															
6130	翼蛇	mod_yishe	1					前尘往事		2	1024	翼蛇	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				12300;12301		intro_1|59			5	10	0.5	1					1	1	2	1		1	1	1																															
6131	毕方鸟	mod_bifangniao	1					前尘往事	1.5	2	1047	毕方鸟	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14300;14301		stand_up|69;dead|55;intro_1|61;wedakness|40			5	10	0.5	1		1				1	2	1		1	1	1																															
6132	探子蒙面人	mod_tanzimengmianren	1					前尘往事		2	1038	探子蒙面人	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				12600;12601;12602;12603					5	10	0.5	1	1						1	1	1		1	1																															
6133	仙女	mod_xiannv	1					前尘往事		2	1039	仙女	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14100;14101		stand_up|36;dead|50;intro_1|51;wedakness|39			5	10	0.5	1		1.5				0.5	2	1		1	1	1																															
6134	地雷	mod_dilei	1					前尘往事	3	2	1045	地雷	1			1	1	ui_Head_Common_Blame										2	1					1								0		0	0.1				13300					5	10	0.5	1	2						2	1	1		1	1																															
6135	尸兵	mod_shihuashibing_1	1					前尘往事207将召唤怪		2	1012	尸化士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11600;11601;11602		stand_up|62;dead|59;intro_1|60;wedakness|50;intro_2|69			5	10	0.5	1	1		1				2	1	1		1	1																															
6201	隋军军官	mod_suijunjunguan	1					前尘往事	1.3	2	2001	隋军军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13600;13601;13602;13603;13604;13605;13606		intro_1|53			6	30	1	1.2	1		0.5			0.5	2	1	1		1	1																															
6202	恶魔军官	mod_suijunjunguanemo	1					前尘往事	1.2	2	2002	恶魔军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13700;13701;13702;13703;13704;13705		intro_1|90			6	30	1	1.2	1		1				2	1	1		1	1																															
6203	白虎都督	mod_baihuzhanshi	1					前尘往事	1.5	2	2004	精英白虎监工	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				10600;10601;10602		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1.5				0.5		2	1	1		1	1																															
6204	白虎猛士	mod_baihuyongshi	1					前尘往事	1.5	2	2005	精英白虎勇士	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				10700;10702;10701		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1		1				2	1	1		2	0																															
6205	白虎刺客	mod_baihucike	1					前尘往事	1.5	2	2008	精英白虎刺客	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				11100;11101;11102;11103		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	0.5				1.5		2	0.75	1.5		1	0.5																															
6206	朱雀先锋	mod_zhuquechihou	1					前尘往事	1.5	2	2006	精英朱雀斥候	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				13100;13101;13102		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1				1		2	1	1		1	1																															
6207	朱雀祭师	mod_honglianwunv	1					前尘往事	1.5	2	2007	精英红莲女巫	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.5				10900;10901;10902;10903		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2		1.5				0.5	2	1		1	0.5	1.5																															
6208	朱雀炎将	mod_zhuqueyanjiang	1					前尘往事	1.5	2	2019	朱雀炎将	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				21900;21901;21902;21903		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			6	30	1	1.2	1				0.5	0.5	2	1	1		1	1																															
6209	逆鳞将	mod_qinglongyongshi	1					前尘往事	1.5	2	2009	精英青龙勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				11300;11301;11302		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1		1				2	1	1		1	1																															
6210	飞羽将	mod_yuminzhanshi	1					前尘往事	1.5	2	2010	精英羽民战士	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.5				11400;11401;11402		stand_up|78;dead|65;intro_1|97;wedakness|36			6	30	1	1.2	1					1	2	1	1		1	1																															
6211	翼蛇老大	mod_yishe	1					前尘往事	2	2	2011	精英翼蛇	1			1	1	ui_Head_Common_Blame										2	1													4		0	2				12300;12301;12302		intro_1|59			6	30	1	1.2					1	1	2	1		1	1	1																															
6212	火光兽老大	mod_huoguangshou	1					前尘往事	1.5	2	2012	精英火光兽	1			1	1	ui_Head_Common_Blame										2	1													5		0	2				12900;12091;12902		stand_up|39;dead|60;intro_1|43;wedakness|39			6	30	1	1.2		1		1			2	1		1	0	2																															
6213	阿拔东	mod_emo	1					前尘往事	1.2	2	2013	精英恶魔	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73			6	30	1	1.2	1		0.5	0.5			2	1	1		1	1																															
6214	蚩尤族百夫长	mod_chiyouzuzhanshi	1					前尘往事205 boss	2	2	2014	蚩尤族百夫长	1			1	1	ui_Head_Common_Blame										2	1													5		0	1.6				13200;13201;13202		stand_up|69;dead|55;intro_1|61;wedakness|40			7	60	1.5	1.4	1			1			2	1.25	1		1.5	0.2																															
6215	蚩尤族玄甲卫	mod_chiyouzujiashi	1					前尘往事	1.5	2	2015	蚩尤族玄甲卫	1			1	1	ui_Head_Common_Blame										2	1													4		0	1.6				12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			6	30	1	1.2	1		1				2	1.25	1		1.5	0																															
6216	巨象猎人	mod_juxianglieren_human	1					前尘往事	1.3	2	2016	巨象猎人（人）	1			2	1.5	ui_Head_Common_Blame										2	1													4		0	2.5				21700;21701;21702;21703;21704		intro_1|53			6	30	1	1.2	2						2	0.8	1.5		1	1																															
6217	巨象猎人	mod_juxianglieren	1					前尘往事	1.3	2	2017	巨象猎人（人和象）	1			3.5	2	ui_Head_Common_Blame										2	1													4		0	3.5				21800;21801;21802;21803;21804;21805;21806		intro_1|53			6	30	1	1.2	1		1				2	1	1		1	1																															
6218	九黎勇士	mod_chiyouzujiashi	1					前尘往事 205专用		2	2015	蚩尤族玄甲卫	137			1	1	ui_Head_Common_Blame						九黎之勇，无人能及	0.8			2	1													4		0	1.6	1			12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			6	30	1	1.2	1		1				2	1.25	1		1.5	0																															
6219	九黎勇士	mod_chiyouzujiashi	1					前尘往事 205专用		2	2015	蚩尤族玄甲卫	137			1	1	ui_Head_Common_Blame						九黎之勇，无人能及	0.8			2	1													4		0	1.6	1			12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			6	30	1	1.2	1		1				2	1.25	1		1.5	0																															
6220	九黎勇士	mod_chiyouzujiashi	1					前尘往事 205专用		2	2015	蚩尤族玄甲卫	137			1	1	ui_Head_Common_Blame						九黎之勇，无人能及	0.8			2	1													4		0	1.6	1			12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			6	30	1	1.2	1		1				2	1.25	1		1.5	0																															
6221	九黎勇士	mod_chiyouzujiashi	1					前尘往事 205专用		2	2015	蚩尤族玄甲卫	137			1	1	ui_Head_Common_Blame						九黎之勇，所向披靡	0.8			2	1													4		0	1.6	1			12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40			6	30	1	1.2	1		1				2	1.25	1		1.5	0																															
6222	祸斗兽	mod_huodoushou	1					前尘往事	1.3	2	2021	祸斗兽	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	1.4				22300;22301;22302;22303		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			6	30	1	1.2	1		0.5			0.5	2	1	1		1	1																															
6223	祸斗兽	mod_huodoushou	1					前尘往事	1	2	2022	祸斗兽（无技能版）	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				22300;22301		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			6	30	1	1.2	1		0.5			0.5	2	1	1		1	1																															
6301	宇文拓	mod_yuwentuo	1					前尘往事		2	7001	宇文拓	5			1	1	ui_Head_Common_Blame										2	1													5	2|1.8|6.5|50	0	0.1				20500;20503;20504;20505		intro_1|105;			7	60	1.5	1.4	1		1				2	1	1		1	1																															
6302	姬良	mod_jiliang	1					前尘往事		2	7002	姬良	5			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1				20600;20601;20602;20603;20604;20605;20606					7	60	1.5	1.4		2					2	1		1	1	1																															
6303	陈靖仇	mod_chenjingchou	1					前尘往事		2	7006	陈靖仇	5			1	1	ui_Head_Common_Male										1	1		5											5		0	0.1				21200;21201;21202;21203;21204;21205					7	60	1.5	1.4	1		1				2	1	1		1	1																															
6304	亚坦	mod_suijunjunguanemo	1					前尘往事	1.8	2	3015	恶魔军官	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			13700;13701;13702;13703;13704;13705		intro_1|90			7	60	1.5	1.4	2						2	1	1		1	1																															
6305	尸化大将军	mod_shihuadajiangjun	1					前尘往事		2	3004	尸化大将军	1			1	1	ui_Head_Common_Blame										2	1		5											5	2|1.8|6.5|50	0	1.6	1			20200;20201;20202;20203;20204;20205		intro_1|134			7	60	1.5	1.4	1.5				0.5		2	1	1		1	1																															
6306	降龙力士	mod_xianglonglishi	1					前尘往事	2.3	2	2020	降龙力士	1			2	2	ui_Head_Common_Blame										2	1		5											4		0	0.1				22100;22101;22102;22103		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69			7	60	1.5	1.4	1				0.5	0.5	2	1	1		1	1.5																															
6307	雨师	mod_yushi	1					前尘往事	1.5	2	3006	雨师	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			20300;20301;20302;20303;20304;20305		intro_1|44			7	60	1.5	1.4		1				1	2	0.75		1.5	0.75	0.75																															
6308	风后	mod_fenghou	1					前尘往事	1.5	2	3016	风后	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			21500;21501;21502;21503;21504;21505;21506;21507;21508;21509;21510;21511;21512		intro_1|47			7	60	1.5	1.4		2					2	0.75		1.5	0.75	0.75																															
6309	朱雀帝	mod_zhuquedi	1					前尘往事	1.2	2	3007	朱雀帝	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			21600;21601;21602;21603;21604;21605;21606		intro_1|47			7	60	1.5	1.4		1.5			0.5		2	0.75		1.5	0.75	0.75																															
6310	赤焰	mod_drogan_boss	1					前尘往事	0.8	2	3017	赤焰	301			1	1	ui_Head_Common_Blame										2	1		5											0		0	1.5	1			20021;20022;20023;20024;20025					7	60	1.5	1.4	1		1				2	1	1		1	1																															
6311	巨象猎人	mod_juxianglieren_human	1					前尘往事	1.3	2	2016	巨象猎人（人）	1			2	1.5	ui_Head_Common_Blame										2	1		5											4		0	2.5				21700;21701;21702;21703;21704		intro_1|53			7	60	1.5	1.4	2						2	0.8	1.5		1	1																															
6312	巨象猎人	mod_juxianglieren	1					前尘往事	1.3	2	2017	巨象猎人（人和象）	1			3.5	2	ui_Head_Common_Blame										2	1		5											4		0	3.5				21800;21801;21802;21803;21804;21805;21806		intro_1|53			7	60	1.5	1.4	1		1				2	1	1		1	1																															
6313	尸将	mod_shihuadajiangjun	1					前尘往事207专用（会召尸兵）	1.5	2	3004	尸化大将军	1			3	1.5	ui_Head_Common_Blame										2	1		5											5		0	2	1			20250;20251;20252;20253;20254;20255;20206;20207;20208;20209		intro_1|134			7	60	1.5	1.4	1.5				0.5		2	1	1		1	1																															
6314	尸将-暴君	mod_suijunjunguanemo	1					前尘往事207专用	2.5	2	3015	恶魔军官	139			3.5	2.5	ui_Head_Common_Blame										2	1		5											5		0	2.5	1			13706;13707;13708;13709;13710		intro_1|90			7	60	1.5	1.4	2						2	1	1		1	1																															
6401	金刚石像	mod_xianglonglishi	1					圣兽之乱_炽焰	2.1	1	2020	降龙力士	1			2	1.6	ui_Head_Common_Blame										2														4		0	2.1				22100;22101;22102;22103;22105		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|69	1	50	3	6	0.6	1.2	1				1		2	1	1		1	1																															
6402	炽焰	mod_drogan_boss	1					圣兽之乱_炽焰		2	3001	龙	301			-1	3	ui_Head_Common_Blame										2														0		0	4	1			20021;20022;20023;20024;20025			1	50	4	15	1	1.4	2						2	1	1		1	1																															
6403	翼虎	mod_yihu	1					圣兽之乱_翼虎	1.8	2	3018	翼虎	7			5	4	ui_Head_Common_Blame										2	1		5											5		0	2.5	1			22200;22201;22202;22203;22203;22203;22204;22205					4	15	1	1.4	1	1	1				3	1	1	1	1	1																															
6450	恶魔军官	mod_suijunjunguanemo	1					时空漩涡-金币	1.2	2	2002	恶魔军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13700;13701;13702;13703;13704;13705		intro_1|90			3	6	0.6	1.2	1		1				2	1	1		1	1																															
6451	小龙	mod_drogan_boss	1					时空漩涡-金币，守护对象	0.3	2	6002	小龙	131			1	1	ui_Head_Common_Female										1	1				1			1						0		0	0.1				20030;20031					3	6	0.6	1.2	2						2	1	1		1	1																															
6452	恶魔	mod_emo	1					时空漩涡-金币		2	1007	恶魔	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73			1	2	0.3	1	1		0.5	0.5			2	1	1		1	1																															
6453	魅魔	mod_meimo	1					时空漩涡-金币		2	1031	魅魔	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				12500;12501;12502		intro_1|100			1	2	0.3	1		1			1		2	1	1		1	1																															
6454	阿拔东	mod_emo	1					时空漩涡-金币	1.2	2	2013	精英恶魔	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73			3	6	0.6	1.2	1		0.5	0.5			2	1	1		1	1																															
6460	白虎勇士	mod_baihuyongshi	1					时空漩涡-宝箱		2	1001	白虎勇士	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10700;10702;10701		intro_1|100;hit_out_1|10			1	2	0.3	1	1		1				2	1	1		2	0																															
6461	隋军弩手	mod_zhuoluchenggongjianshou	1					时空漩涡-宝箱		2	1033	逐鹿城弩手	1			1	1	ui_Head_Common_Blame										2	1													5		0	0.1				11000;11001;11002		intro_1|100			1	2	0.3	1	1				1		2	0.75	1.25		1	1																															
6462	尸化士兵	mod_shihuashibing_1	1					时空漩涡-宝箱		2	1012	尸化士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11600;11601;11602		stand_up|62;dead|59;intro_1|60;wedakness|50;intro_2|69			1	2	0.3	1	1		1				2	1	1		1	1																															
6463	冤魂	mod_yuanhun	1					时空漩涡-宝箱		2	1023	冤魂	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				12800;12801;12802		stand_up|73;dead|59;intro_1|86;wedakness|33			1	2	0.3	1					1	1	2	1	1		1	1																															
